,year,genre,rating,users_rating,votes,languages,runtime
0,1.0,1.0,1.0,6.5,120.0,1.0,100.0
1,1.0,2.0,2.0,6.4,8.0,1.0,80.0
2,1.0,3.0,1.0,5.4,17.0,1.0,92.0
3,1.0,4.0,1.0,9.1,27.0,1.0,129.0
4,1.0,5.0,2.0,7.6,33.0,1.0,109.0
5,1.0,1.0,1.0,6.2,21.0,2.0,90.0
6,1.0,3.0,2.0,6.1,7.0,1.0,85.0
7,1.0,3.0,2.0,5.9,67.0,1.0,109.0
8,1.0,5.0,1.0,8.5,54.0,1.0,117.0
9,1.0,3.0,2.0,6.3,150.0,1.0,110.0
10,1.0,5.0,1.0,6.1,239.0,1.0,102.0
11,1.0,5.0,1.0,7.5,678.0,1.0,121.0
12,1.0,5.0,1.0,6.9,15.0,1.0,94.0
13,1.0,3.0,2.0,6.4,9.0,1.0,95.0
14,1.0,5.0,1.0,7.2,82.0,1.0,93.0
15,1.0,7.0,3.0,6.2,10.0,1.0,95.0
16,1.0,6.0,1.0,6.3,71.0,1.0,98.0
17,2.0,3.0,2.0,5.3,47.0,1.0,91.0
18,2.0,5.0,2.0,8.2,280.0,1.0,112.0
19,2.0,5.0,3.0,8.0,13.0,1.0,106.0
20,2.0,6.0,1.0,5.9,39.0,1.0,86.0
21,2.0,5.0,1.0,7.8,48.0,1.0,107.0
22,2.0,5.0,1.0,7.1,34.0,1.0,93.0
23,2.0,5.0,1.0,7.8,16.0,1.0,118.0
24,2.0,5.0,1.0,4.7,11.0,1.0,97.0
25,2.0,6.0,1.0,8.8,23.0,1.0,103.0
26,2.0,5.0,2.0,7.2,98.0,1.0,108.0
27,2.0,3.0,2.0,6.2,5.0,1.0,75.0
28,2.0,6.0,1.0,7.3,358.0,1.0,119.0
29,2.0,6.0,1.0,7.2,9.0,1.0,95.0
30,2.0,6.0,1.0,6.0,33.0,1.0,94.0
31,2.0,5.0,1.0,7.3,9.0,1.0,103.0
32,2.0,6.0,1.0,7.0,43.0,1.0,96.0
33,2.0,3.0,1.0,4.7,102.0,1.0,90.0
34,2.0,8.0,2.0,7.2,17.0,1.0,83.0
35,2.0,3.0,2.0,6.4,146.0,1.0,91.0
36,2.0,5.0,1.0,6.6,724.0,1.0,121.0
37,2.0,5.0,3.0,7.8,39.0,1.0,99.0
38,2.0,4.0,2.0,5.3,390.0,1.0,97.0
39,2.0,5.0,1.0,8.0,763.0,1.0,113.0
40,2.0,5.0,1.0,6.2,27.0,1.0,102.0
41,2.0,6.0,1.0,6.8,261.0,1.0,97.0
42,2.0,8.0,4.0,6.5,3112.0,1.0,123.0
43,2.0,1.0,1.0,7.0,133.0,1.0,121.0
44,2.0,5.0,1.0,5.0,147.0,1.0,101.0
45,2.0,8.0,2.0,6.2,157.0,1.0,114.0
46,2.0,6.0,1.0,9.4,16.0,1.0,109.0
47,2.0,3.0,2.0,5.8,43.0,1.0,90.0
48,2.0,6.0,1.0,7.8,624.0,1.0,113.0
49,2.0,5.0,2.0,6.9,1877.0,1.0,106.0
50,2.0,5.0,3.0,6.6,8.0,1.0,101.0
51,2.0,3.0,2.0,6.5,35.0,1.0,119.0
52,2.0,3.0,2.0,4.5,6.0,1.0,76.0
53,2.0,6.0,1.0,6.6,23.0,1.0,110.0
54,2.0,3.0,1.0,4.5,6.0,1.0,75.0
55,2.0,3.0,2.0,5.0,10.0,1.0,84.0
56,2.0,6.0,1.0,5.8,19.0,1.0,92.0
57,2.0,5.0,3.0,6.8,9.0,1.0,91.0
58,2.0,5.0,1.0,8.4,5.0,1.0,123.0
59,2.0,3.0,1.0,4.8,73.0,1.0,100.0
60,2.0,6.0,3.0,5.9,14.0,1.0,108.0
61,2.0,5.0,1.0,6.7,53.0,1.0,95.0
62,2.0,6.0,1.0,7.4,57.0,1.0,97.0
63,2.0,3.0,2.0,7.8,5.0,1.0,75.0
64,2.0,6.0,1.0,6.0,125.0,1.0,86.0
65,2.0,5.0,2.0,7.0,372.0,1.0,92.0
66,2.0,3.0,2.0,6.5,11.0,1.0,90.0
67,2.0,6.0,1.0,5.9,78.0,1.0,96.0
68,2.0,3.0,2.0,4.3,127.0,1.0,95.0
69,2.0,5.0,1.0,7.1,121.0,1.0,102.0
70,2.0,5.0,2.0,5.5,385.0,1.0,116.0
71,2.0,3.0,2.0,6.9,57.0,1.0,85.0
72,2.0,6.0,1.0,7.5,49.0,1.0,96.0
73,2.0,6.0,1.0,7.3,35.0,1.0,93.0
74,2.0,5.0,1.0,7.0,28.0,1.0,92.0
75,2.0,6.0,1.0,6.1,22.0,1.0,92.0
76,2.0,4.0,1.0,6.6,305.0,1.0,96.0
77,2.0,3.0,1.0,5.0,5.0,1.0,100.0
78,2.0,6.0,1.0,6.4,431.0,1.0,96.0
79,2.0,6.0,1.0,5.5,24.0,1.0,96.0
80,2.0,6.0,1.0,7.2,36.0,1.0,101.0
81,2.0,3.0,2.0,5.3,22.0,1.0,80.0
82,2.0,4.0,1.0,5.9,84.0,1.0,90.0
83,2.0,5.0,1.0,8.1,25.0,1.0,96.0
84,2.0,6.0,1.0,7.0,117.0,1.0,94.0
85,2.0,6.0,1.0,6.8,373.0,1.0,100.0
86,2.0,3.0,2.0,6.8,531.0,1.0,99.0
87,2.0,5.0,1.0,5.9,12.0,1.0,93.0
88,2.0,3.0,2.0,4.9,9.0,1.0,80.0
89,2.0,3.0,2.0,6.5,22.0,1.0,90.0
90,2.0,3.0,2.0,2.0,61.0,1.0,86.0
91,2.0,5.0,2.0,5.1,37.0,1.0,102.0
92,2.0,5.0,3.0,7.8,13.0,1.0,96.0
93,2.0,6.0,1.0,7.5,37.0,1.0,104.0
94,2.0,5.0,3.0,5.7,9.0,1.0,94.0
95,2.0,3.0,2.0,6.3,27.0,1.0,94.0
96,2.0,5.0,1.0,7.3,11.0,1.0,106.0
97,2.0,3.0,2.0,6.3,42.0,1.0,89.0
98,2.0,5.0,1.0,8.1,11.0,1.0,94.0
99,2.0,5.0,1.0,7.0,148.0,1.0,95.0
100,2.0,3.0,2.0,5.6,42.0,1.0,116.0
101,2.0,5.0,1.0,7.8,53.0,1.0,100.0
102,2.0,6.0,1.0,7.2,75.0,1.0,128.0
103,2.0,1.0,1.0,7.5,141.0,1.0,96.0
104,2.0,3.0,2.0,5.6,19.0,1.0,96.0
105,2.0,3.0,2.0,5.2,19.0,1.0,90.0
106,2.0,5.0,1.0,7.8,10.0,1.0,101.0
107,2.0,6.0,1.0,7.0,278.0,1.0,106.0
108,2.0,5.0,1.0,3.7,53.0,1.0,98.0
109,2.0,3.0,2.0,6.9,54.0,1.0,111.0
110,2.0,5.0,1.0,7.5,19.0,1.0,94.0
111,2.0,5.0,2.0,6.6,514.0,1.0,181.0
112,2.0,4.0,1.0,5.8,16.0,1.0,97.0
113,2.0,5.0,2.0,5.8,165.0,1.0,103.0
114,2.0,3.0,1.0,4.8,12.0,1.0,92.0
115,2.0,4.0,1.0,4.4,102.0,1.0,103.0
116,2.0,5.0,2.0,5.9,112.0,1.0,100.0
117,2.0,6.0,1.0,7.2,197.0,1.0,109.0
118,3.0,3.0,1.0,5.6,41.0,1.0,107.0
119,3.0,8.0,1.0,6.2,121.0,1.0,71.0
120,3.0,1.0,1.0,8.7,4235.0,1.0,102.0
121,3.0,3.0,5.0,5.2,28.0,1.0,75.0
122,3.0,4.0,2.0,5.2,61.0,1.0,82.0
123,3.0,6.0,1.0,8.0,52.0,1.0,91.0
124,3.0,5.0,2.0,7.3,539.0,1.0,106.0
125,3.0,3.0,2.0,3.7,45.0,1.0,104.0
126,3.0,3.0,1.0,5.3,17.0,1.0,99.0
127,3.0,5.0,1.0,7.5,59.0,1.0,88.0
128,3.0,3.0,2.0,5.3,156.0,1.0,77.0
129,3.0,5.0,2.0,7.3,234.0,1.0,85.0
130,3.0,6.0,1.0,8.8,23.0,1.0,87.0
131,3.0,4.0,1.0,7.1,89.0,1.0,107.0
132,3.0,3.0,1.0,4.9,34.0,1.0,87.0
133,3.0,6.0,1.0,5.7,52.0,1.0,91.0
134,3.0,8.0,6.0,5.8,1004.0,1.0,102.0
135,3.0,6.0,1.0,6.1,54.0,1.0,83.0
136,3.0,5.0,7.0,8.1,59.0,1.0,101.0
137,3.0,3.0,2.0,5.7,354.0,1.0,92.0
138,3.0,5.0,1.0,8.0,195.0,1.0,101.0
139,3.0,5.0,1.0,7.3,2799.0,1.0,127.0
140,3.0,6.0,1.0,6.2,63.0,1.0,98.0
141,3.0,3.0,2.0,6.6,22.0,1.0,88.0
142,3.0,6.0,1.0,6.4,72.0,1.0,88.0
143,3.0,3.0,1.0,4.8,19.0,1.0,84.0
144,3.0,6.0,1.0,5.2,49.0,1.0,79.0
145,3.0,5.0,1.0,1.2,3490.0,1.0,90.0
146,3.0,8.0,1.0,7.2,42.0,1.0,91.0
147,3.0,3.0,2.0,6.9,140.0,1.0,83.0
148,3.0,3.0,1.0,4.0,109.0,1.0,83.0
149,3.0,3.0,1.0,4.7,16.0,1.0,79.0
150,3.0,5.0,2.0,7.0,367.0,1.0,97.0
151,3.0,5.0,3.0,7.9,558.0,1.0,110.0
152,3.0,6.0,1.0,7.0,8.0,1.0,99.0
153,3.0,5.0,3.0,7.3,35.0,1.0,91.0
154,3.0,5.0,2.0,7.5,337.0,1.0,105.0
155,3.0,4.0,3.0,7.8,201.0,1.0,112.0
156,3.0,6.0,4.0,4.8,493.0,1.0,105.0
157,3.0,5.0,1.0,7.5,11.0,3.0,94.0
158,3.0,5.0,5.0,7.4,792.0,1.0,100.0
159,3.0,6.0,1.0,7.2,11.0,1.0,94.0
160,3.0,3.0,6.0,6.0,3015.0,1.0,110.0
161,3.0,5.0,1.0,8.0,53.0,1.0,96.0
162,3.0,5.0,2.0,7.4,21.0,1.0,82.0
163,3.0,8.0,5.0,6.0,2486.0,1.0,91.0
164,3.0,6.0,1.0,7.4,558.0,1.0,101.0
165,3.0,9.0,1.0,7.5,24.0,1.0,112.0
166,3.0,5.0,1.0,7.2,45.0,1.0,98.0
167,3.0,3.0,2.0,5.4,69.0,1.0,90.0
168,3.0,6.0,2.0,5.0,67.0,1.0,98.0
169,3.0,5.0,1.0,8.4,32.0,1.0,98.0
170,3.0,5.0,1.0,7.9,185.0,1.0,99.0
171,3.0,3.0,2.0,4.2,1397.0,1.0,113.0
172,3.0,3.0,2.0,6.8,39.0,1.0,90.0
173,3.0,5.0,1.0,8.5,65.0,1.0,107.0
174,3.0,3.0,2.0,6.5,52.0,1.0,90.0
175,3.0,6.0,2.0,6.6,49.0,1.0,89.0
176,3.0,5.0,1.0,7.1,370.0,1.0,85.0
177,3.0,6.0,1.0,7.4,11.0,1.0,92.0
178,3.0,3.0,2.0,5.3,33.0,1.0,80.0
179,3.0,8.0,2.0,6.4,111.0,1.0,107.0
180,3.0,5.0,1.0,8.2,92.0,1.0,100.0
181,3.0,8.0,1.0,6.9,140.0,1.0,148.0
182,3.0,6.0,2.0,5.6,736.0,1.0,125.0
183,3.0,6.0,1.0,4.0,359.0,1.0,93.0
184,3.0,8.0,6.0,7.0,19856.0,1.0,121.0
185,3.0,3.0,1.0,6.0,18.0,1.0,88.0
186,3.0,3.0,2.0,6.6,8.0,1.0,90.0
187,3.0,3.0,2.0,7.3,6.0,1.0,92.0
188,3.0,3.0,1.0,2.4,18.0,1.0,82.0
189,3.0,5.0,1.0,7.3,11.0,1.0,88.0
190,3.0,4.0,1.0,2.8,8.0,1.0,115.0
191,3.0,8.0,1.0,7.2,1327.0,1.0,123.0
192,4.0,3.0,1.0,3.5,17.0,1.0,78.0
193,4.0,6.0,1.0,6.3,15.0,1.0,92.0
194,4.0,8.0,8.0,5.3,17778.0,2.0,106.0
195,4.0,3.0,1.0,5.4,623.0,1.0,74.0
196,4.0,5.0,1.0,7.0,357.0,1.0,99.0
197,4.0,4.0,1.0,7.3,321.0,1.0,108.0
198,4.0,3.0,1.0,3.7,221.0,1.0,86.0
199,4.0,6.0,2.0,6.6,74.0,1.0,117.0
200,4.0,1.0,3.0,7.7,336.0,1.0,122.0
201,4.0,5.0,2.0,7.6,9.0,1.0,100.0
202,4.0,5.0,5.0,7.0,2350.0,1.0,93.0
203,4.0,5.0,6.0,5.1,1059.0,1.0,107.0
204,4.0,10.0,2.0,7.1,145.0,1.0,139.0
205,4.0,5.0,1.0,6.8,151.0,1.0,102.0
206,4.0,4.0,1.0,1.4,880.0,1.0,91.0
207,4.0,3.0,2.0,4.0,65.0,1.0,89.0
208,4.0,5.0,7.0,6.6,6877.0,1.0,107.0
209,4.0,8.0,1.0,3.2,37.0,1.0,92.0
210,4.0,6.0,1.0,6.7,111.0,1.0,98.0
211,4.0,5.0,1.0,7.7,6.0,1.0,88.0
212,4.0,5.0,1.0,7.0,370.0,1.0,90.0
213,4.0,5.0,1.0,7.1,359.0,1.0,121.0
214,4.0,6.0,1.0,7.3,285.0,1.0,110.0
215,4.0,6.0,1.0,6.7,254.0,1.0,115.0
216,4.0,4.0,1.0,7.3,61.0,1.0,103.0
217,4.0,8.0,1.0,4.7,504.0,1.0,105.0
218,4.0,5.0,1.0,5.6,533.0,1.0,125.0
219,5.0,5.0,3.0,8.0,6.0,1.0,101.0
220,5.0,4.0,1.0,4.4,153.0,1.0,100.0
221,5.0,6.0,1.0,8.0,1472.0,1.0,104.0
222,5.0,6.0,1.0,5.9,564.0,1.0,101.0
223,5.0,8.0,7.0,6.3,12507.0,1.0,118.0
224,5.0,5.0,9.0,7.0,22.0,1.0,100.0
225,5.0,4.0,9.0,7.3,217.0,1.0,97.0
226,5.0,8.0,3.0,5.3,23.0,1.0,96.0
