year,genre,rating,users_rating,votes,languages,runtime
1.0,1.0,1.0,6.5,120.0,1.0,100.0
1.0,2.0,2.0,6.4,8.0,1.0,80.0
1.0,3.0,1.0,5.4,17.0,1.0,92.0
1.0,4.0,1.0,9.1,27.0,1.0,129.0
1.0,5.0,2.0,7.6,33.0,1.0,109.0
1.0,6.0,1.0,6.1,153.0,1.0,101.0
1.0,1.0,1.0,6.2,21.0,2.0,90.0
1.0,3.0,2.0,6.1,7.0,1.0,85.0
1.0,3.0,2.0,5.9,67.0,1.0,109.0
1.0,5.0,1.0,8.5,54.0,1.0,117.0
1.0,3.0,2.0,6.3,150.0,1.0,110.0
1.0,5.0,1.0,6.1,239.0,1.0,102.0
1.0,5.0,1.0,7.5,678.0,1.0,121.0
1.0,5.0,1.0,6.9,15.0,1.0,94.0
1.0,3.0,2.0,6.4,9.0,1.0,95.0
1.0,5.0,1.0,7.2,82.0,1.0,93.0
1.0,3.0,2.0,6.2,5.0,1.0,86.0
1.0,6.0,1.5,6.0,11.0,1.0,86.0
1.0,7.0,3.0,6.2,10.0,1.0,95.0
1.0,6.0,1.0,6.3,71.0,1.0,98.0
2.0,3.0,2.0,5.3,47.0,1.0,91.0
2.0,6.0,2.0,6.3,6.0,1.0,97.0
2.0,5.0,2.0,8.2,280.0,1.0,112.0
2.0,5.0,3.0,8.0,13.0,1.0,106.0
2.0,6.0,1.0,5.9,39.0,1.0,86.0
2.0,5.0,1.0,7.8,48.0,1.0,107.0
2.0,5.0,1.0,7.1,34.0,1.0,93.0
2.0,5.0,1.0,7.8,16.0,1.0,118.0
2.0,5.0,1.0,4.7,11.0,1.0,97.0
2.0,6.0,1.0,8.8,23.0,1.0,103.0
2.0,5.0,2.0,7.2,98.0,1.0,108.0
2.0,3.0,2.0,6.2,5.0,1.0,75.0
2.0,6.0,1.0,7.3,358.0,1.0,119.0
2.0,6.0,1.0,7.2,9.0,1.0,95.0
2.0,6.0,1.0,6.0,33.0,1.0,94.0
2.0,5.0,1.0,7.3,9.0,1.0,103.0
2.0,6.0,1.0,7.0,43.0,1.0,96.0
2.0,3.0,1.0,4.7,102.0,1.0,90.0
2.0,8.0,2.0,7.2,17.0,1.0,83.0
2.0,3.0,2.0,6.4,146.0,1.0,91.0
2.0,5.0,1.0,6.6,724.0,1.0,121.0
2.0,5.0,3.0,7.8,39.0,1.0,99.0
2.0,4.0,2.0,5.3,390.0,1.0,97.0
2.0,5.0,1.0,8.0,763.0,1.0,113.0
2.0,5.0,1.0,6.2,27.0,1.0,102.0
2.0,6.0,1.0,6.8,261.0,1.0,97.0
2.0,8.0,4.0,6.5,3112.0,1.0,123.0
2.0,1.0,1.0,7.0,133.0,1.0,121.0
2.0,5.0,1.0,5.0,147.0,1.0,101.0
2.0,5.0,3.0,6.5,46.0,1.0,106.0
2.0,8.0,2.0,6.2,157.0,1.0,114.0
2.0,5.0,2.0,7.5,6.0,1.0,93.0
2.0,6.0,1.0,9.4,16.0,1.0,109.0
2.0,5.0,3.0,7.0,22.0,1.0,75.0
2.0,3.0,2.0,5.8,43.0,1.0,90.0
2.0,6.0,1.0,7.8,624.0,1.0,113.0
2.0,5.0,2.0,6.9,1877.0,1.0,106.0
2.0,5.0,3.0,6.6,8.0,1.0,101.0
2.0,3.0,2.0,6.5,35.0,1.0,119.0
2.0,3.0,2.0,4.5,6.0,1.0,76.0
2.0,6.0,1.0,6.6,23.0,1.0,110.0
2.0,3.0,1.0,4.5,6.0,1.0,75.0
2.0,3.0,2.0,5.0,10.0,1.0,84.0
2.0,6.0,1.0,5.8,19.0,1.0,92.0
2.0,5.0,3.0,6.8,9.0,1.0,91.0
2.0,5.0,1.0,8.4,5.0,1.0,123.0
2.0,3.0,1.0,4.8,73.0,1.0,100.0
2.0,3.0,2.0,6.4,18.0,1.0,92.0
2.0,6.0,3.0,5.9,14.0,1.0,108.0
2.0,5.0,1.0,6.7,53.0,1.0,95.0
2.0,6.0,1.0,7.4,57.0,1.0,97.0
2.0,3.0,2.0,7.8,5.0,1.0,75.0
2.0,3.0,1.0,5.4,14.0,1.0,94.5
2.0,6.0,1.0,6.0,125.0,1.0,86.0
2.0,5.0,2.0,7.0,372.0,1.0,92.0
2.0,3.0,2.0,6.5,11.0,1.0,90.0
2.0,6.0,1.0,5.9,78.0,1.0,96.0
2.0,3.0,2.0,4.3,127.0,1.0,95.0
2.0,5.0,1.0,7.1,121.0,1.0,102.0
2.0,5.0,2.0,5.5,385.0,1.0,116.0
2.0,3.0,2.0,6.9,57.0,1.0,85.0
2.0,6.0,1.0,7.5,49.0,1.0,96.0
2.0,6.0,1.0,7.3,35.0,1.0,93.0
2.0,5.0,1.0,7.0,28.0,1.0,92.0
